"species","order","mni_max","spec_max","complete_case","abu_cat","lat_range","gcd","ma_range","asl_pred","svl","mean_lat","min_lat","family","genus"
"Acanthostomatops vorax","Temnospondyli",1,NA,NA,NA,0,0,0,75,208.914767273565,7.727055414,7.727055414,"Zatracheidae","Acanthostomatops"
"Acheloma cumminsi","Temnospondyli",1,1,TRUE,1,0,58.60925815771,6,166,444.877307884927,0.2447605375,0.061937284,"Trematopidae","Acheloma"
"Acheloma dunni","Temnospondyli",2,6,TRUE,1,0,9.50453877449036e-05,0,177,473.400252354433,0.975413717,0.975413717,"Trematopidae","Acheloma"
"Albanerpeton arthridion","Allocaudata",16,43,TRUE,1,0.23728803,28.3650673026132,10,4.94186849582904,27.2543859525859,38.6773099575,36.8040014,"Albanerpetontidae","Albanerpeton"
"Albanerpeton cifellii","Allocaudata",1,1,TRUE,1,0,0,0,NA,NA,45.61790019,45.61790019,"Albanerpetontidae","Albanerpeton"
"Albanerpeton galaktion","Allocaudata",1,6,TRUE,1,0.54488428,1378.35630607969,18,10.8721106908239,42.631474027,56.92418518375,48.17852687,"Albanerpetontidae","Albanerpeton"
"Albanerpeton gracilis","Allocaudata",40,85,TRUE,2,0.52360903,2483.26469216179,7,6.58915799443872,31.5257993065898,55.1786584528571,38.51926098,"Albanerpetontidae","Albanerpeton"
"Albanerpeton inexpectatum","Allocaudata",3,33,TRUE,1,3.15803801,1050.8226471905,16,16,55.9280651189455,44.8951934125,41.16246172,"Albanerpetontidae","Albanerpeton"
"Albanerpeton nexuosus","Allocaudata",14,79,TRUE,1,2.54757261,2290.82201316293,17,11.5310264902678,44.3400393686016,52.7158478476923,38.51926098,"Albanerpetontidae","Albanerpeton"
"Albionbatrachus wightensis","Salientia",1,1,TRUE,1,0,0,0,NA,NA,44.81577889,44.81577889,"Palaeobatrachidae","Albionbatrachus"
"Ambystoma minshalli","Urodela",3,78,TRUE,1,3.00677215,334.869816936655,0,14.8256054874871,52.8828660766094,45.58535731,43.50596686,"Ambystomatidae","Ambystoma"
"Amphibiopodiscus saltator",NA,NA,NA,NA,NA,0,0,0,NA,NA,-44.05282492,-44.05282492,NA,"Amphibiopodiscus"
"Anakamacops petrolicus","Temnospondyli",1,1,TRUE,1,0,0,0,NA,NA,25.32222932,25.32222932,"Dissorophidae","Anakamacops"
"Anconastes vesperus","Temnospondyli",1,2,TRUE,1,0,9.50453877449036e-05,0,99,271.146646116122,2.00652925,2.00652925,"Trematopidae","Anconastes"
"Andrias matthewi","Urodela",1,2,TRUE,1,6.67912689,846.214608414306,5,154,413.761368463649,47.699791996,45.81244016,"Cryptobranchidae","Andrias"
"Angusaurus tsylmensis","Temnospondyli",NA,NA,NA,NA,0,0,0,NA,NA,50.5305141,50.5305141,"Benthosuchidae","Angusaurus"
"Anoualerpeton priscus","Allocaudata",48,402,TRUE,2,0,0,0,8.2364474930484,35.7972126605937,35.9998508,35.9998508,"Albanerpetontidae","Anoualerpeton"
"Anoualerpeton unicus","Allocaudata",NA,NA,NA,NA,0,0,0,8.2364474930484,35.7972126605937,16.56501981,16.56501981,"Albanerpetontidae","Anoualerpeton"
"Antarctosuchus polyodon","Temnospondyli",1,1,TRUE,1,0,0,0,624,1632.46899579706,-70.8294837,-70.8294837,NA,"Antarctosuchus"
"Apachesaurus gregorii","Temnospondyli",3,7,TRUE,1,3.767930754,952.915800604027,15,NA,NA,10.419158424,7.828468216,"Metoposauridae","Apachesaurus"
"Apateon gracilis","Temnospondyli",NA,NA,NA,NA,0,0,0,18,61.1140550224919,7.727055414,7.727055414,"Branchiosauridae","Apateon"
"Aphaneramma rostratum","Temnospondyli",1,5,TRUE,1,0.18197044,86.5185305607202,0,242,641.944924219691,55.8094997355556,55.71751013,"Trematosauridae","Aphaneramma"
"Apodops pricei","Parabatrachia",1,1,TRUE,1,0,0,0,NA,NA,-27.12387667,-27.12387667,"Caeciliidae","Apodops"
"Apricosiren ensomi","Urodela",50,200,TRUE,2,0,0,0,NA,NA,33.10265491,33.10265491,NA,"Apricosiren"
"Aralobatrachus robustus","Salientia",2,10,TRUE,1,0,0.000134414476389852,4,18,61.1140550224919,36.081917775,35.92976291,"Discoglossidae","Aralobatrachus"
"Arariphrynus placidoi","Salientia",NA,NA,NA,NA,0,9.50453877449036e-05,0,NA,NA,-5.740652219,-5.740652219,NA,"Arariphrynus"
"Arizonerpeton wellsi","Lepospondyli",1,27,TRUE,1,0,0,0,NA,NA,-9.204140903,-9.204140903,"Nectridea","Arizonerpeton"
"Aspidosaurus chiton","Temnospondyli",1,2,TRUE,1,0,0,0,89,245.21669659839,0.462893986,0.462893986,"Dissorophidae","Aspidosaurus"
"Austropelor wadleyi","Temnospondyli",1,1,TRUE,1,0,0,0,NA,NA,-58.3656774,-58.3656774,"Brachyopidae","Austropelor"
"Avitabatrachus uliana","Salientia",NA,NA,NA,NA,0,0,0,12.4443204403572,35,-38.078945,-38.078945,NA,NA
"Aygroua anoualensis","Salientia",2,24,TRUE,1,0,0,0,NA,NA,16.56501981,16.56501981,NA,"Aygroua"
"Bakonybatrachus fedori","Salientia",1,4,TRUE,1,0,0,0,10.666560377449,30,31.56505601,31.56505601,"Discoglossidae","Bakonybatrachus"
"Balanerpeton woodi","Temnospondyli",27,27,TRUE,2,0,0,0,48,150,-28.15289937,-28.15289937,NA,"Balanerpeton"
"Banksiops townrowi","Temnospondyli",8,46,TRUE,1,0.29929762,36.9601982543721,0,82,227.065731935977,-82.4583302633333,-82.65516901,"Brachyopidae","Banksiops"
"Baphetes orientalis",NA,NA,NA,NA,NA,0,0,0,276,730.10675257998,-1.468283224,-1.468283224,NA,NA
"Bathignathus poikilops","Temnospondyli",1,1,TRUE,1,0,9.50453877449036e-05,0,212,564.155075666495,-49.96272207,-49.96272207,"Brachyopidae","Bathignathus"
"Batrachopodiscus curvus",NA,NA,NA,NA,NA,0,0,0,NA,NA,-51.99242429,-51.99242429,NA,"Batrachopodiscus"
"Batrachopodiscus quthingensis",NA,NA,NA,NA,NA,0,0,0,NA,NA,-43.98389532,-43.98389532,NA,"Batrachopodiscus"
"Batrachopodiscus tsanatalani",NA,NA,NA,NA,NA,0,0,0,NA,NA,-51.99242429,-51.99242429,NA,"Batrachopodiscus"
"Batrachosuchus concordi","Temnospondyli",1,1,TRUE,1,0,0.000134414476389852,0,NA,NA,-39.64503944,-39.64503944,"Brachyopidae","Batrachosuchus"
"Batrachosuchus henwoodi","Temnospondyli",1,1,TRUE,1,0,0,0,126,341.157509813999,-50.71063212,-50.71063212,"Brachyopidae","Batrachosuchus"
"Batropetes fritschia","Lepospondyli",1,1,TRUE,1,0,0,0,13.1783159888774,48.6114527226055,4.989818757,4.989818757,"Brachystelechidae","Batropetes"
"Beelzebufo ampinga","Salientia",1,19,TRUE,1,0.18010425,95.888749765317,0,82.488066918939,232,-36.588807225,-36.73787828,NA,"Beelzebufo"
"Benthosuchus korobkovi","Temnospondyli",NA,NA,NA,NA,0,0,0,NA,NA,41.26444672,41.26444672,NA,"Benthosuchus"
"Benthosuchus sushkini","Temnospondyli",1,1,TRUE,1,0,0,0,700,1829.53661213182,39.68951369,39.68951369,NA,"Benthosuchus"
"Benthosuchus uralensis","Temnospondyli",1,1,TRUE,1,0,0,0,700,1829.53661213182,38.50926425,38.50926425,NA,"Benthosuchus"
"Bishara backa","Urodela",1,1,TRUE,1,0,0.000134414476389852,0,NA,NA,35.87967564,35.87967564,NA,"Bishara"
"Bolterpeton carrolli","Lepospondyli",2,2,TRUE,1,0,9.50453877449036e-05,0,NA,NA,0.975413717,0.975413717,"Gymnarthridae","Bolterpeton"
"Boreosaurus thorslundi","Temnospondyli",1,1,TRUE,1,0.14296763,66.6677753764131,0,NA,NA,55.8052021233333,55.73933456,"Stereospondyli","Boreosaurus"
"Bothriceps australis","Temnospondyli",15,15,TRUE,1,0,0,0,85,234.844716791297,-86.1212877,-86.1212877,"Brachyopidae","Bothriceps"
"Branchierpeton amblystomum","Temnospondyli",NA,NA,NA,NA,0,0,0,NA,NA,7.727055414,7.727055414,"Micromelerpetontidae","Branchierpeton"
"Branchiosaurus umbrosus","Temnospondyli",NA,NA,NA,NA,0,0,0,12.7,47.3711817780939,9.697373238,9.697373238,"Branchiosauridae","Branchiosaurus"
"Broiliellus novomexicanus","Temnospondyli",NA,NA,NA,NA,0,0,0,89,245.21669659839,4.453305342,4.453305342,"Dissorophidae","Broiliellus"
"Broiliellus peltatus","Temnospondyli",NA,NA,NA,NA,0,0,0,89,245.21669659839,0.427583791,0.427583791,"Dissorophidae","Broiliellus"
"Bufo kuhrei","Salientia",NA,NA,NA,NA,0,0,0,NA,NA,45.81244016,45.81244016,"Bufonidae","Bufo"
"Bufo linquensis","Salientia",NA,NA,NA,NA,0,0.000134414476389852,0,NA,NA,35.5478729,35.5478729,"Bufonidae","Bufo"
"Cacops aspidephorus","Temnospondyli",1,21,TRUE,1,0,0,0,124,335.971519910452,0.460845037,0.460845037,"Dissorophidae","Cacops"
"Cacops morrisi","Temnospondyli",2,2,TRUE,1,0,9.50453877449036e-05,0,122,330.785530006906,0.975413717,0.975413717,"Dissorophidae","Cacops"
"Calamops paludosus","Temnospondyli",1,1,TRUE,1,0,0,0,900,2348.13560248646,13.80806439,13.80806439,"Capitosauroidea","Calamops"
"Callistomordax kugleri","Temnospondyli",9,11,TRUE,1,0.09796271,21.3653157945044,0,155,416.354363415422,28.818151635,28.76917028,NA,"Callistomordax"
"Calmasuchus acri","Temnospondyli",1,3,TRUE,1,0,0,0,323,851.977515313321,18.34211083,18.34211083,NA,"Calmasuchus"
"Capitosaurus arenaceus","Temnospondyli",1,1,TRUE,1,0,0,0,NA,NA,30.00590726,30.00590726,"Mastodonsauridae","Capitosaurus"
"Capitosaurus polaris","Temnospondyli",1,1,TRUE,1,0,9.50453877449036e-05,0,NA,NA,56.6527461,56.6527461,"Mastodonsauridae","Capitosaurus"
"Cardiocephalus peabodyi","Lepospondyli",3,25,TRUE,1,0,9.50453877449036e-05,0,19,106,0.975413717,0.975413717,"Gymnarthridae","Cardiocephalus"
"Cardiocephalus sternbergi","Lepospondyli",2,2,TRUE,1,0.167195,23.0587373111051,0,16,55.9280651189455,0.518625652666667,0.462893986,"Gymnarthridae","Cardiocephalus"
"Celtedens ibericus","Allocaudata",1,1,TRUE,1,0,0,0,9.71900804179711,39.6414846791973,27.7633892,27.7633892,"Albanerpetontidae","Celtedens"
"Celtedens megacephalus","Allocaudata",32,45,TRUE,2,0,0,32,9.3,38.554998942065,31.667683535,30.23271216,"Albanerpetontidae","Celtedens"
"Chelomophrynus bayi","Salientia",NA,NA,NA,NA,0,9.50453877449036e-05,0,NA,NA,50.44918944,50.44918944,"Rhinophrynidae","Chelomophrynus"
"Chenoprosopus milleri","Temnospondyli",1,1,TRUE,1,0,9.50453877449036e-05,0,291.5,770.298174332465,5.836037906,5.836037906,"Cochleosauridae","Chenoprosopus"
"Chomatobatrachus halei","Temnospondyli",7,10,TRUE,1,0.50810143,58.2808206483817,0,112,304.855580489174,-82.331029592,-82.50627557,"Lydekkerinidae","Chomatobatrachus"
"Chunerpeton tianyiensis","Urodela",1,1,TRUE,1,0.48718324,634.271694598948,6,26,81.8580146366776,49.0720357625,46.00900381,"Cryptobranchidae","Chunerpeton"
"Cochleosaurus florensis","Temnospondyli",NA,NA,NA,NA,0,0,0,124,335.971519910452,-8.169084445,-8.169084445,"Cochleosauridae","Cochleosaurus"
"Conjunctio multidens","Temnospondyli",NA,NA,NA,NA,0,0.000134414476389852,9,113,307.448575440947,4.3414244235,4.209081445,"Dissorophidae","Conjunctio"
"Cosgriffius campi","Temnospondyli",1,1,TRUE,1,0,0,0,411,1080.16107106936,18.72551536,18.72551536,"Trematosauridae","Cosgriffius"
"Cratia gracilis","Salientia",NA,NA,NA,NA,0,9.50453877449036e-05,0,NA,NA,-5.740652219,-5.740652219,NA,"Cratia"
"Crossotelos annulatus","Lepospondyli",2,2,TRUE,1,0,9.50453877449036e-05,4,37,110.380959106183,0.341408531,0.310326878,"Urocordylidae","Crossotelos"
"Cryobatrachus kitchingi","Temnospondyli",1,3,TRUE,1,0.14898461,22.3067757371507,0,NA,NA,-72.2157345133333,-72.29821628,NA,"Cryobatrachus"
"Ctenerpeton primum","Lepospondyli",NA,NA,NA,NA,0,0,0,NA,NA,-13.54950851,-13.54950851,"Urocordylidae","Ctenerpeton"
"Cyclotosaurus ebrachensis","Temnospondyli",1,1,TRUE,1,0,0.000134414476389852,0,345,909.023404252332,29.60479785,29.60479785,"Capitosauroidea","Cyclotosaurus"
"Cyclotosaurus intermedius","Temnospondyli",1,5,TRUE,1,0,9.50453877449036e-05,0,560,1466.51731888357,34.36829666,34.36829666,"Capitosauroidea","Cyclotosaurus"
"Cyclotosaurus leptognathus","Temnospondyli",2,4,TRUE,1,0,0,0,345,909.023404252332,29.55313207,29.55313207,"Capitosauroidea","Cyclotosaurus"
"Cyclotosaurus pachygnathus","Temnospondyli",1,4,TRUE,1,0.0062607,34.3240225524953,0,345,909.023404252332,29.55000172,29.54687137,"Capitosauroidea","Cyclotosaurus"
"Cyclotosaurus posthumus","Temnospondyli",NA,NA,NA,NA,0,0,0,NA,NA,43.9149942,43.9149942,"Capitosauroidea","Cyclotosaurus"
"Cyclotosaurus robustus","Temnospondyli",22,22,TRUE,2,0.32216323,36.4699366991352,0,391,1028.3011720339,28.194133135,28.03305152,"Capitosauroidea","Cyclotosaurus"
"Cyclotosaurus spitzbergensis","Temnospondyli",1,1,TRUE,1,0,0,0,345,909.023404252332,55.80683278,55.80683278,"Capitosauroidea","Cyclotosaurus"
"Cymatorhiza kittsi","Lepospondyli",1,1,TRUE,1,0,0,0,NA,NA,7.848929095,7.848929095,"Gymnarthridae","Cymatorhiza"
"Czatkobatrachus polonicus","Salientia",9,76,TRUE,1,0,9.50453877449036e-05,0,17.7776006290817,50,29.56265668,29.56265668,NA,"Czatkobatrachus"
"Dasyceps bucklandi","Temnospondyli",1,1,TRUE,1,0,0,0,240,636.758934316145,6.65260018,6.65260018,"Zatracheidae","Dasyceps"
"Deltacephalus whitei","Temnospondyli",1,1,TRUE,1,0,0,0,51.8,148.757284392426,-34.15967136,-34.15967136,"Lydekkerinidae","Deltacephalus"
"Deltasaurus kimberleyensis","Temnospondyli",1,6,TRUE,1,0.62950249,118.692764533472,2,128,346.343499717545,-66.60592092,-82.50627557,"Rhytidosteidae","Deltasaurus"
"Deltasaurus pustulatus","Temnospondyli",1,1,TRUE,1,0,9.50453877449036e-05,0,128,346.343499717545,-52.1988992,-52.1988992,"Rhytidosteidae","Deltasaurus"
"Dendrerpeton acadianum","Temnospondyli",1,1,TRUE,1,0,0.000134414476389852,0,105,286.704615826761,-16.28427248,-16.28427248,NA,"Dendrerpeton"
"Derwentia warreni","Temnospondyli",1,1,TRUE,1,0.17757063,19.8024221122465,0,88.4,243.660899627326,-82.417490255,-82.50627557,"Derwentiidae","Derwentia"
"Dicamptodon antiquus","Urodela",1,1,TRUE,1,0,0,0,21,68.8930398778115,64.88680164,64.88680164,"Dicamptodontidae","Dicamptodon"
"Diceratosaurus laevis","Lepospondyli",1,1,TRUE,1,0,0,0,37,110.380959106183,-9.920517005,-9.920517005,"Nectridea","Diceratosaurus"
"Diceratosaurus robustus","Lepospondyli",1,1,TRUE,1,0,0,0,67,188.170807659379,-9.920517005,-9.920517005,"Nectridea","Diceratosaurus"
"Diplocaulus brevirostris","Lepospondyli",4,4,TRUE,1,0.035310195,8.74690771914032,0,136,367.087459331731,0.4452388885,0.427583791,"Keraterpetontidae","Diplocaulus"
"Diplocaulus copei","Lepospondyli",1,8,TRUE,1,0,0,0,NA,NA,0.334317632,0.334317632,"Keraterpetontidae","Diplocaulus"
"Diplocaulus magnicornis","Lepospondyli",3,23,TRUE,1,0.208124516,31.10072262567,9,115,312.634565344493,0.447893445444444,0.310326878,"Keraterpetontidae","Diplocaulus"
"Diplocaulus minimus","Lepospondyli",3,3,TRUE,1,0,0,0,NA,NA,13.33706147,13.33706147,"Keraterpetontidae","Diplocaulus"
"Diplocaulus recurvatus","Lepospondyli",1,9,TRUE,1,0,0,0,127,343.750504765772,0.57510469,0.57510469,"Keraterpetontidae","Diplocaulus"
"Dissorophus multicinctus","Temnospondyli",1,3,TRUE,1,0,0,0,131,354.122484572865,0.462893986,0.462893986,"Dissorophidae","Dissorophus"
"Doleserpeton annectens","Temnospondyli",NA,NA,NA,NA,0,9.50453877449036e-05,0,18.5,55,0.975413717,0.975413717,"Amphibamidae","Doleserpeton"
"Doragnathus woodi","Temnospondyli",NA,NA,NA,NA,0,0,0,NA,NA,-5.944001845,-5.944001845,"Trimerorhachidae","Doragnathus"
"Dvinosaurus egregius","Temnospondyli",NA,NA,NA,NA,0,0,0,265,701.583808110475,35.55893865,35.55893865,"Dvinosauria","Dvinosaurus"
"Dvinosaurus primus","Temnospondyli",NA,NA,NA,NA,0,0.000134414476389852,16,198,527.85314634167,31.74225558,27.16053185,"Dvinosauria","Dvinosaurus"
"Dvinosaurus secundus","Temnospondyli",NA,NA,NA,NA,0,0,0,NA,NA,27.16053185,27.16053185,"Dvinosauria","Dvinosaurus"
"Elfridia bulbidens","Lepospondyli",NA,NA,NA,NA,0,0,0,NA,NA,-9.204140903,-9.204140903,"Gymnarthridae","Elfridia"
"Elkobatrachus brocki","Salientia",5,8,TRUE,1,0,0,0,10.666560377449,30,49.03830192,49.03830192,"Pelobatidae","Elkobatrachus"
"Eocyclotosaurus wellesi","Temnospondyli",1,7,TRUE,1,1.6730174,213.745162469729,0,510,1336.86757129491,17.957182092,17.28890997,"Capitosauroidea","Eocyclotosaurus"
"Eodiscoglossus oxoniensis","Salientia",28,160,TRUE,2,0,0,0,28.4441610065307,80,35.9998508,35.9998508,"Discoglossidae","Eodiscoglossus"
"Eodiscoglossus santonjae","Salientia",1,5,TRUE,1,0,0,1,11,55,27.26812118,27.26812118,"Discoglossidae","Eodiscoglossus"
"Eolydekkerina magna","Temnospondyli",1,1,TRUE,1,0,0,0,139,374.86644418705,-50.44876943,-50.44876943,"Lydekkerinidae","Eolydekkerina"
"Eopelobates anthracinus","Salientia",NA,NA,NA,NA,0.73935908,85.6124296508025,0,NA,NA,45.76663814,45.3969586,"Pelobatidae","Eopelobates"
