species,genus,family,order,occurrence_no,occurrence.reference_no
Acheloma cumminsi,Acheloma,Trematopidae,Temnospondyli,296101,9228
Albanerpeton arthridion,Albanerpeton,Albanerpetontidae,Allocaudata,831984,26201
Albanerpeton cifellii,Albanerpeton,Albanerpetontidae,Allocaudata,247987,6845
Albanerpeton galaktion,Albanerpeton,Albanerpetontidae,Allocaudata,1070845,42675
Albanerpeton galaktion,Albanerpeton,Albanerpetontidae,Allocaudata,1070840,42675
Albanerpeton galaktion,Albanerpeton,Albanerpetontidae,Allocaudata,1070842,42675
Albanerpeton gracilis,Albanerpeton,Albanerpetontidae,Allocaudata,1069417,42675
Albanerpeton gracilis,Albanerpeton,Albanerpetontidae,Allocaudata,1069419,42675
Albanerpeton inexpectatum,Albanerpeton,Albanerpetontidae,Allocaudata,1217120,52039
Albanerpeton inexpectatum,Albanerpeton,Albanerpetontidae,Allocaudata,1217124,52039
Albanerpeton nexuosus,Albanerpeton,Albanerpetontidae,Allocaudata,1147004,42675
Albionbatrachus wightensis,Albionbatrachus,Palaeobatrachidae,Salientia,408688,10613
Ambystoma minshalli,Ambystoma,Ambystomatidae,Urodela,288101,1717
Anakamacops petrolicus,Anakamacops,Dissorophidae,Temnospondyli,789653,28776
Andrias matthewi,Andrias,Cryptobranchidae,Urodela,287370,7566
Anisodexis imbricarius,Anisodexis,Eryopidae,Temnospondyli,1242744,17702
Antarctosuchus polyodon,Antarctosuchus,NA,Temnospondyli,1286789,55307
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,517579,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,483852,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,838836,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,838889,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,483857,12930
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,1131970,46574
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,1131972,46574
Apodops pricei,Apodops,Caeciliidae,Parabatrachia,832393,31062
Aralobatrachus robustus,Aralobatrachus,Discoglossidae,Salientia,985890,18862
Austropelor wadleyi,Austropelor,Brachyopidae,Temnospondyli,1087049,43613
Banksiops townrowi,Banksiops,Brachyopidae,Temnospondyli,1087659,43692
Banksiops townrowi,Banksiops,Brachyopidae,Temnospondyli,1087669,43692
Bathignathus poikilops,Bathignathus,Brachyopidae,Temnospondyli,1142844,47045
Batrachosuchus concordi,Batrachosuchus,Brachyopidae,Temnospondyli,896224,34187
Batrachosuchus henwoodi,Batrachosuchus,Brachyopidae,Temnospondyli,1087567,43684
Batropetes fritschia,Batropetes,Brachystelechidae,Lepospondyli,789758,28837
Beelzebufo ampinga,Beelzebufo,NA,Salientia,983390,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192705,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192714,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192697,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192715,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192712,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192709,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192708,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192706,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192699,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192695,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,483686,49974
Beelzebufo ampinga,Beelzebufo,NA,Salientia,735475,26523
Beelzebufo ampinga,Beelzebufo,NA,Salientia,1192710,49974
Bishara backa,Bishara,NA,Urodela,639410,19862
Boreosaurus thorslundi,Boreosaurus,Stereospondyli,Temnospondyli,1131978,46574
Boreosaurus thorslundi,Boreosaurus,Stereospondyli,Temnospondyli,1131979,46574
Boreosaurus thorslundi,Boreosaurus,Stereospondyli,Temnospondyli,1131980,46574
Calamops paludosus,Calamops,Capitosauroidea,Temnospondyli,934043,35757
Cardiocephalus sternbergi,Cardiocephalus,Gymnarthridae,Lepospondyli,296149,28484
Cardiocephalus sternbergi,Cardiocephalus,Gymnarthridae,Lepospondyli,788972,28729
Celtedens ibericus,Celtedens,Albanerpetontidae,Allocaudata,1095201,44194
Celtedens megacephalus,Celtedens,Albanerpetontidae,Allocaudata,961500,34432
Chenoprosopus milleri,Chenoprosopus,Cochleosauridae,Temnospondyli,790525,28944
Chomatobatrachus halei,Chomatobatrachus,Lydekkerinidae,Temnospondyli,1087681,43692
Cosgriffius campi,Cosgriffius,Trematosauridae,Temnospondyli,855778,32397
Crossotelos annulatus,Crossotelos,Urocordylidae,Lepospondyli,789052,28758
Cryobatrachus kitchingi,Cryobatrachus,NA,Temnospondyli,1087037,43611
Cryobatrachus kitchingi,Cryobatrachus,NA,Temnospondyli,1087035,43611
Cyclotosaurus ebrachensis,Cyclotosaurus,Capitosauroidea,Temnospondyli,881090,31149
Cyclotosaurus pachygnathus,Cyclotosaurus,Capitosauroidea,Temnospondyli,880679,24929
Cyclotosaurus spitzbergensis,Cyclotosaurus,Capitosauroidea,Temnospondyli,1131961,46568
Cymatorhiza kittsi,Cymatorhiza,Gymnarthridae,Lepospondyli,289336,7597
Dasyceps bucklandi,Dasyceps,Zatracheidae,Temnospondyli,1307512,57259
Deltacephalus whitei,Deltacephalus,Lydekkerinidae,Temnospondyli,1131868,46567
Deltasaurus kimberleyensis,Deltasaurus,Rhytidosteidae,Temnospondyli,1087674,43692
Deltasaurus kimberleyensis,Deltasaurus,Rhytidosteidae,Temnospondyli,1087521,43676
Deltasaurus kimberleyensis,Deltasaurus,Rhytidosteidae,Temnospondyli,1087682,43692
Deltasaurus pustulatus,Deltasaurus,Rhytidosteidae,Temnospondyli,1087524,43676
Dendrerpeton acadianum,Dendrerpeton,NA,Temnospondyli,294225,32300
Dendrerpeton acadianum,Dendrerpeton,NA,Temnospondyli,297337,32315
Derwentia warreni,Derwentia,Derwentiidae,Temnospondyli,1087675,43692
Derwentia warreni,Derwentia,Derwentiidae,Temnospondyli,1087663,43692
Dicamptodon antiquus,Dicamptodon,Dicamptodontidae,Urodela,1072581,42869
Diceratosaurus laevis,Diceratosaurus,Nectridea,Lepospondyli,963874,28743
Diceratosaurus robustus,Diceratosaurus,Nectridea,Lepospondyli,963875,28743
Diplocaulus brevirostris,Diplocaulus,Keraterpetontidae,Lepospondyli,799789,29284
Diplocaulus magnicornis,Diplocaulus,Keraterpetontidae,Lepospondyli,296029,28342
Diplocaulus magnicornis,Diplocaulus,Keraterpetontidae,Lepospondyli,799792,29284
Eolydekkerina magna,Eolydekkerina,Lydekkerinidae,Temnospondyli,1130472,46526
Eopelobates grandis,Eopelobates,Pelobatidae,Salientia,148357,4366
Eorhinophrynus septentrionalis,Eorhinophrynus,Rhinophrynidae,Salientia,521289,2523
Eoscapherpeton asiaticum,Eoscapherpeton,Cryptobranchidae,Urodela,559658,16510
Eryops megacephalus,Eryops,Eryopidae,Temnospondyli,789067,28758
Eryops willistoni,Eryops,Eryopidae,Temnospondyli,787562,28557
Eryosuchus antiquus,Eryosuchus,Capitosauridae,Temnospondyli,877608,28828
Estesina elegans,Estesina,Discoglossidae,Salientia,985910,18862
Eurycephalella alcinae,Eurycephalella,NA,Salientia,832083,31011
Ferganobatrachus riabinini,Ferganobatrachus,NA,Temnospondyli,745315,26886
Ferganobatrachus riabinini,Ferganobatrachus,NA,Temnospondyli,745364,26886
Galverpeton ibericum,Galverpeton,NA,Urodela,632140,19446
Georgenthalia clavinasica,Georgenthalia,Amphibamidae,Temnospondyli,790003,27263
Gobiates asiaticus,Gobiates,Gobiatidae,Salientia,985868,18862
Gobiates kizylkumensis,Gobiates,Gobiatidae,Salientia,559668,16510
Gobiates kizylkumensis,Gobiates,Gobiatidae,Salientia,985870,18862
Gobiates tatarinovi,Gobiates,Gobiatidae,Salientia,985866,18862
Gobiatoides parvus,Gobiatoides,Gobiatidae,Salientia,985876,18862
Gonioglyptus huxleyi,Gonioglyptus,Trematosauridae,Temnospondyli,1307358,57226
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,700811,2236
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,289591,7598
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,520970,829
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,545123,803
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,488260,13103
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,487888,13103
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,488392,13103
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,487906,13103
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,700712,2236
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,545141,803
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,458018,11749
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,650676,2236
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,545462,803
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,700830,2236
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,545128,803
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,458239,11749
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,700773,2236
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,487998,803
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,488976,803
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,480365,13103
Hylerpeton dawsoni,Hylerpeton,Hylonomidae,Lepospondyli,853421,32316
Indobrachyops panchetensis,Indobrachyops,NA,Temnospondyli,1307367,57226
Indobrachyops panchetensis,Indobrachyops,NA,Temnospondyli,1087526,43678
Iridotriton hechti,Iridotriton,NA,Urodela,735582,26530
Isodectes obtusus,Isodectes,Saurerpetontidae,Temnospondyli,788995,28717
Isodectes obtusus,Isodectes,Saurerpetontidae,Temnospondyli,296061,7693
Isodectes obtusus,Isodectes,Saurerpetontidae,Temnospondyli,788994,28740
Jammerbergia formops,Jammerbergia,Mastodonsauridae,Temnospondyli,868561,32693
Kestrosaurus dreyeri,Kestrosaurus,Capitosauridae,Temnospondyli,1134100,46648
Kestrosaurus dreyeri,Kestrosaurus,Capitosauridae,Temnospondyli,1143569,47068
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,838923,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,517604,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,837634,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,837087,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,562849,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,968280,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,838915,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,842963,31702
Kryostega collinsoni,Kryostega,Stereospondyli,Temnospondyli,1081098,38098
Labyrinthodon lavisi,Labyrinthodon,Mastodonsauridae,Temnospondyli,811345,29829
Leiocephalikon problematicum,Leiocephalikon,Gymnarthridae,Lepospondyli,297345,7856
Leiopelma miocaenale,Leiopelma,Leiopelmatidae,Salientia,1191062,49851
Liaobatrachus macilentus,Liaobatrachus,NA,Salientia,980986,37781
Llistrofus pricei,Llistrofus,Hapsidopareiontidae,Lepospondyli,629474,28692
Lydekkerina panchetensis,Lydekkerina,Lydekkerinidae,Temnospondyli,1307359,57226
Lyrocephaliscus euri,Lyrocephaliscus,Lyrocephaliscidae,Temnospondyli,1131869,46568
Mahavisaurus australis,Mahavisaurus,Rhytidosteidae,Temnospondyli,1132148,46587
Manubrantlia khaki,Manubrantlia,Lapillopsidae,Temnospondyli,1087562,43681
Marmorerpeton freemani,Marmorerpeton,NA,Urodela,406005,30993
Mastodonsaurus durus,Mastodonsaurus,Metoposauridae,Temnospondyli,934041,15618
Mastodonsaurus giganteus,Mastodonsaurus,NA,Temnospondyli,929803,33823
Mastodonsaurus giganteus,Mastodonsaurus,NA,Temnospondyli,929766,35488
Mastodonsaurus giganteus,Mastodonsaurus,NA,Temnospondyli,929801,33823
Mastodonsaurus torvus,Mastodonsaurus,NA,Temnospondyli,789768,28553
Melosaurus uralensis,Melosaurus,Rachitomi,Temnospondyli,387723,9939
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,930821,35596
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,930388,28828
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,881089,31149
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,930393,27868
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,881085,33402
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,932452,35596
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,930395,27868
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,930387,27868
Metoposaurus jonesi,Metoposaurus,Metoposauridae,Temnospondyli,1080921,37028
Micraroter erythrogeios,Micraroter,Ostodolepidae,Lepospondyli,631444,19411
Micropholis stowi,Micropholis,Amphibamidae,Temnospondyli,1142024,47028
Microposaurus averyi,Microposaurus,Trematosauridae,Temnospondyli,1087247,43647
Microposaurus casei,Microposaurus,Trematosauridae,Temnospondyli,1134114,46648
Montsechobatrachus gaudryi,Montsechobatrachus,NA,Salientia,1184113,49222
Montsechobatrachus gaudryi,Montsechobatrachus,NA,Salientia,1186192,49344
Nannaroter mckinziei,Nannaroter,Ostodolepidae,Lepospondyli,821692,30433
Nannospondylus stewarti,Nannospondylus,Trimerorhachidae,Temnospondyli,287720,4327
Neoprocoela edentatus,Neoprocoela,Leptodactylidae,Salientia,492948,13081
Nigerpeton ricqlesi,Nigerpeton,Cochleosauridae,Temnospondyli,632372,28482
Opisthotriton gidleyi,Opisthotriton,Batrachosauroididae,Urodela,289589,7598
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,488028,13103
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,819363,13103
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,488282,13103
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,487910,13103
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,487887,13103
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,483640,13103
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,488262,13103
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,1171314,803
Ostodolepis brevispinatus,Ostodolepis,Ostodolepidae,Lepospondyli,296044,30431
Palaeobatrachus occidentalis,Palaeobatrachus,Palaeobatrachidae,Salientia,635838,19691
Palaeobatrachus occidentalis,Palaeobatrachus,Palaeobatrachidae,Salientia,464133,19691
Palaeobatrachus occidentalis,Palaeobatrachus,Palaeobatrachidae,Salientia,1217137,52044
Palaeobatrachus occidentalis,Palaeobatrachus,Palaeobatrachidae,Salientia,545296,19691
Paleoamphiuma tetradactylum,Paleoamphiuma,Amphiumidae,Urodela,784712,28383
Panchetosaurus panchetensis,Panchetosaurus,Trematosauridae,Temnospondyli,1307369,57226
Paracyclotosaurus davidi,Paracyclotosaurus,NA,Temnospondyli,399460,7824
Paracyclotosaurus morganorum,Paracyclotosaurus,NA,Temnospondyli,868560,32693
Paradiscoglossus americanus,Paradiscoglossus,NA,Salientia,635837,19691
Pariotichus brachyops,Pariotichus,Gymnarthridae,Lepospondyli,296037,7693
Parotosuchus orenburgensis,Parotosuchus,Mastodonsauridae,Temnospondyli,1127576,46404
Parotosuchus orientalis,Parotosuchus,NA,Temnospondyli,789760,28844
Pelodosotis elongatum,Pelodosotis,Ostodolepidae,Lepospondyli,821690,28692
Peltobatrachus pustulatus,Peltobatrachus,Stereospondyli,Temnospondyli,1081114,43411
Peltostega erici,Peltostega,NA,Temnospondyli,1131965,46571
Peltostega erici,Peltostega,NA,Temnospondyli,1131983,46575
Peltostega erici,Peltostega,NA,Temnospondyli,1131982,46575
Phlegethontia longissima,Phlegethontia,Phlegethontiidae,Lepospondyli,832388,31059
Phlegethontia longissima,Phlegethontia,Phlegethontiidae,Lepospondyli,832402,31059
Piceoerpeton willwoodense,Piceoerpeton,Scapherpetontidae,Urodela,787823,28586
Plagiosternum danilovi,Plagiosternum,Plagiosauridae,Temnospondyli,789769,28553
Plagiosternum paraboliceps,Plagiosternum,Plagiosauridae,Temnospondyli,877637,28844
Platyoposaurus rickardi,Platyoposaurus,Archegosauridae,Temnospondyli,799681,28553
Platyoposaurus stuckenbergi,Platyoposaurus,Archegosauridae,Temnospondyli,799682,5921
Platyoposaurus vjuschkovi,Platyoposaurus,Archegosauridae,Temnospondyli,382158,9746
Platyoposaurus watsoni,Platyoposaurus,Archegosauridae,Temnospondyli,799672,28553
Platystega depressa,Platystega,Platystegidae,Temnospondyli,1131905,46568
Proacris mintoni,Proacris,Hylidae,Salientia,707384,25661
Procerobatrachus paulus,Procerobatrachus,Discoglossidae,Salientia,985908,18862
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,488906,13103
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,488013,803
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,483641,13103
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,487856,803
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,488261,13103
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,480366,13103
Prosiren elinorae,Prosiren,Prosirenidae,Urodela,289648,7600
Prospea holoserisca,Prospea,Scaphiopodidae,Salientia,1309981,57585
Pseudacris nordensis,Pseudacris,Hylidae,Salientia,286996,7555
Pseudacris nordensis,Pseudacris,Hylidae,Salientia,289939,687
Pseudophlegethontia turnbullorum,Pseudophlegethontia,Pseudophlegethontiidae,Lepospondyli,789748,28830
Rhinesuchus wadiai,Rhinesuchus,Rhinesuchidae,Temnospondyli,1209762,51451
Rileymillerus cosgriffi,Rileymillerus,NA,Temnospondyli,149920,29593
Rotaurisaurus contundo,Rotaurisaurus,Lapillopsidae,Temnospondyli,1087081,43625
Saharastega moradiensis,Saharastega,NA,Temnospondyli,632371,28481
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,458175,11749
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,458070,11749
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,488048,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,545139,803
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,649695,23573
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,545140,803
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,457970,11749
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,487889,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,488233,803
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,819356,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,545968,803
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,488153,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,520969,829
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,488029,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,488110,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,487869,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,459973,11749
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,488875,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,458195,11749
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,487947,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,483599,13103
Sclerothorax hypselonotus,Sclerothorax,Sclerothoracidae,Temnospondyli,1076088,43176
Slaugenhopia texensis,Slaugenhopia,Trimerorhachidae,Temnospondyli,753719,26846
Slaugenhopia texensis,Slaugenhopia,Trimerorhachidae,Temnospondyli,788179,26846
Spea neuter,Spea,Pelobatidae,Salientia,599224,18285
Stanocephalosaurus birdi,Stanocephalosaurus,Mastodonsauridae,Temnospondyli,855632,32377
Stenotosaurus gracilis,Stenotosaurus,Mastodonsauridae,Temnospondyli,882294,33811
Stenotosaurus stantonensis,Stenotosaurus,Mastodonsauridae,Temnospondyli,1264414,10295
Stoschiosaurus nielseni,Stoschiosaurus,Trematosauridae,Temnospondyli,1131047,46549
Subcyclotosaurus brookvalensis,Subcyclotosaurus,Mastodonsauridae,Temnospondyli,1087308,7824
Tambachia trogallas,Tambachia,Trematopidae,Temnospondyli,825283,30596
Tambaroter carrolli,Tambaroter,Ostodolepidae,Lepospondyli,1000938,38771
Tertrema acuta,Tertrema,Trematosauridae,Temnospondyli,1131966,46572
Tertrema acuta,Tertrema,Trematosauridae,Temnospondyli,1131906,46568
Thaumastosaurus wardi,Thaumastosaurus,NA,Salientia,1196377,50285
Tirraturhinus smisseni,Tirraturhinus,Trematosauridae,Temnospondyli,1087082,43627
Triassurus sixtelae,Triassurus,NA,Temnospondyli,970671,37294
Tyrrellbatrachus brinkmani,Tyrrellbatrachus,NA,Salientia,479448,56016
Uberabatrachus carvalhoi,Uberabatrachus,Ceratophryidae,Salientia,1094570,44145
